id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
4262,CDS,cde_fo,JPYINR,6863,OPTCUR,CE,60.75,JPYINR28JULY2360.75CE,JPYINR2372860.75CE,JPYINR 28JUL23 60.75 CE,28-07-2023,1,0.0025,60,75,60.75
4263,CDS,cde_fo,GBPINR,6864,OPTCUR,PE,108.25,GBPINR21JULY23108.25PE,GBPINR23721108.25PE,GBPINR 21JUL23 108.25 PE,21-07-2023,1,0.0025,108,25,108.25
4264,CDS,cde_fo,JPYINR,6865,OPTCUR,CE,54.25,JPYINR21JULY2354.25CE,JPYINR2372154.25CE,JPYINR 21JUL23 54.25 CE,21-07-2023,1,0.0025,54,25,54.25
4265,CDS,cde_fo,USDINR,6866,OPTCUR,PE,84.25,USDINR18AUGUST2384.25PE,USDINR2381884.25PE,USDINR 18AUG23 84.25 PE,18-08-2023,1,0.0025,84,25,84.25
4266,CDS,cde_fo,USDINR,6867,OPTCUR,CE,84.5,USDINR18AUGUST2384.5CE,USDINR2381884.5CE,USDINR 18AUG23 84.5 CE,18-08-2023,1,0.0025,84,5,84.5
4267,CDS,cde_fo,JPYINR,6868,OPTCUR,PE,54.25,JPYINR21JULY2354.25PE,JPYINR2372154.25PE,JPYINR 21JUL23 54.25 PE,21-07-2023,1,0.0025,54,25,54.25
4268,CDS,cde_fo,USDINR,6869,OPTCUR,PE,84.5,USDINR18AUGUST2384.5PE,USDINR2381884.5PE,USDINR 18AUG23 84.5 PE,18-08-2023,1,0.0025,84,5,84.5
4269,CDS,cde_fo,JPYINR,6872,OPTCUR,CE,54.5,JPYINR21JULY2354.5CE,JPYINR2372154.5CE,JPYINR 21JUL23 54.5 CE,21-07-2023,1,0.0025,54,5,54.5
4270,CDS,cde_fo,JPYINR,6873,OPTCUR,PE,54.5,JPYINR21JULY2354.5PE,JPYINR2372154.5PE,JPYINR 21JUL23 54.5 PE,21-07-2023,1,0.0025,54,5,54.5
4271,CDS,cde_fo,GBPUSD,6874,OPTCUR,PE,1.1,GBPUSD27DECEMBER231.1PE,GBPUSD23DEC1.1PE,GBPUSD 27DEC23 1.1 PE,27-12-2023,1,0.0001,1,1,1.1
4272,CDS,cde_fo,GBPUSD,6875,OPTCUR,CE,1.105,GBPUSD27DECEMBER231.105CE,GBPUSD23DEC1.105CE,GBPUSD 27DEC23 1.105 CE,27-12-2023,1,0.0001,1,105,1.105
4273,CDS,cde_fo,GBPUSD,6876,OPTCUR,PE,1.105,GBPUSD27DECEMBER231.105PE,GBPUSD23DEC1.105PE,GBPUSD 27DEC23 1.105 PE,27-12-2023,1,0.0001,1,105,1.105
4274,CDS,cde_fo,GBPUSD,6877,OPTCUR,CE,1.11,GBPUSD27DECEMBER231.11CE,GBPUSD23DEC1.11CE,GBPUSD 27DEC23 1.11 CE,27-12-2023,1,0.0001,1,11,1.11
4275,CDS,cde_fo,GBPUSD,6878,OPTCUR,PE,1.11,GBPUSD27DECEMBER231.11PE,GBPUSD23DEC1.11PE,GBPUSD 27DEC23 1.11 PE,27-12-2023,1,0.0001,1,11,1.11
4276,CDS,cde_fo,GBPUSD,6879,OPTCUR,CE,1.115,GBPUSD27DECEMBER231.115CE,GBPUSD23DEC1.115CE,GBPUSD 27DEC23 1.115 CE,27-12-2023,1,0.0001,1,115,1.115
4277,CDS,cde_fo,GBPUSD,6880,OPTCUR,PE,1.115,GBPUSD27DECEMBER231.115PE,GBPUSD23DEC1.115PE,GBPUSD 27DEC23 1.115 PE,27-12-2023,1,0.0001,1,115,1.115
4278,CDS,cde_fo,GBPUSD,6881,OPTCUR,CE,1.12,GBPUSD27DECEMBER231.12CE,GBPUSD23DEC1.12CE,GBPUSD 27DEC23 1.12 CE,27-12-2023,1,0.0001,1,12,1.12
4279,CDS,cde_fo,USDINR,6882,OPTCUR,CE,84.75,USDINR18AUGUST2384.75CE,USDINR2381884.75CE,USDINR 18AUG23 84.75 CE,18-08-2023,1,0.0025,84,75,84.75
4280,CDS,cde_fo,USDINR,6883,OPTCUR,PE,84.75,USDINR18AUGUST2384.75PE,USDINR2381884.75PE,USDINR 18AUG23 84.75 PE,18-08-2023,1,0.0025,84,75,84.75
4281,CDS,cde_fo,USDINR,6884,OPTCUR,CE,85,USDINR18AUGUST2385CE,USDINR2381885CE,USDINR 18AUG23 85 CE,18-08-2023,1,0.0025,85,,85
4282,CDS,cde_fo,USDINR,6885,OPTCUR,PE,85,USDINR18AUGUST2385PE,USDINR2381885PE,USDINR 18AUG23 85 PE,18-08-2023,1,0.0025,85,,85
4283,CDS,cde_fo,USDINR,6886,OPTCUR,CE,85.25,USDINR18AUGUST2385.25CE,USDINR2381885.25CE,USDINR 18AUG23 85.25 CE,18-08-2023,1,0.0025,85,25,85.25
4284,CDS,cde_fo,USDINR,6887,OPTCUR,PE,85.25,USDINR18AUGUST2385.25PE,USDINR2381885.25PE,USDINR 18AUG23 85.25 PE,18-08-2023,1,0.0025,85,25,85.25
4285,CDS,cde_fo,USDINR,6888,OPTCUR,CE,85.5,USDINR18AUGUST2385.5CE,USDINR2381885.5CE,USDINR 18AUG23 85.5 CE,18-08-2023,1,0.0025,85,5,85.5
4286,CDS,cde_fo,USDINR,6889,OPTCUR,PE,85.5,USDINR18AUGUST2385.5PE,USDINR2381885.5PE,USDINR 18AUG23 85.5 PE,18-08-2023,1,0.0025,85,5,85.5
4287,CDS,cde_fo,USDINR,6890,OPTCUR,CE,85.75,USDINR18AUGUST2385.75CE,USDINR2381885.75CE,USDINR 18AUG23 85.75 CE,18-08-2023,1,0.0025,85,75,85.75
4288,CDS,cde_fo,USDINR,6891,OPTCUR,PE,85.75,USDINR18AUGUST2385.75PE,USDINR2381885.75PE,USDINR 18AUG23 85.75 PE,18-08-2023,1,0.0025,85,75,85.75
4289,CDS,cde_fo,USDINR,6892,OPTCUR,CE,86,USDINR18AUGUST2386CE,USDINR2381886CE,USDINR 18AUG23 86 CE,18-08-2023,1,0.0025,86,,86
4290,CDS,cde_fo,USDINR,6893,OPTCUR,PE,86,USDINR18AUGUST2386PE,USDINR2381886PE,USDINR 18AUG23 86 PE,18-08-2023,1,0.0025,86,,86
4291,CDS,cde_fo,JPYINR,6894,OPTCUR,CE,65.5,JPYINR26SEPTEMBER2365.5CE,JPYINR23SEP65.5CE,JPYINR 26SEP23 65.5 CE,26-09-2023,1,0.0025,65,5,65.5
4292,CDS,cde_fo,JPYINR,6895,OPTCUR,PE,65.5,JPYINR26SEPTEMBER2365.5PE,JPYINR23SEP65.5PE,JPYINR 26SEP23 65.5 PE,26-09-2023,1,0.0025,65,5,65.5
4293,CDS,cde_fo,USDINR,6896,OPTCUR,CE,86.25,USDINR18AUGUST2386.25CE,USDINR2381886.25CE,USDINR 18AUG23 86.25 CE,18-08-2023,1,0.0025,86,25,86.25
4294,CDS,cde_fo,USDINR,6897,OPTCUR,PE,86.25,USDINR18AUGUST2386.25PE,USDINR2381886.25PE,USDINR 18AUG23 86.25 PE,18-08-2023,1,0.0025,86,25,86.25
4295,CDS,cde_fo,USDJPY,6898,OPTCUR,CE,118.5,USDJPY26SEPTEMBER23118.5CE,USDJPY23SEP118.5CE,USDJPY 26SEP23 118.5 CE,26-09-2023,1,0.01,118,5,118.5
4296,CDS,cde_fo,USDJPY,6899,OPTCUR,PE,118.5,USDJPY26SEPTEMBER23118.5PE,USDJPY23SEP118.5PE,USDJPY 26SEP23 118.5 PE,26-09-2023,1,0.01,118,5,118.5
4297,CDS,cde_fo,USDJPY,6900,OPTCUR,CE,118.5,USDJPY27DECEMBER23118.5CE,USDJPY23DEC118.5CE,USDJPY 27DEC23 118.5 CE,27-12-2023,1,0.01,118,5,118.5
4298,CDS,cde_fo,USDJPY,6901,OPTCUR,PE,118.5,USDJPY27DECEMBER23118.5PE,USDJPY23DEC118.5PE,USDJPY 27DEC23 118.5 PE,27-12-2023,1,0.01,118,5,118.5
4299,CDS,cde_fo,GBPUSD,6902,OPTCUR,PE,1.37,GBPUSD26SEPTEMBER231.37PE,GBPUSD23SEP1.37PE,GBPUSD 26SEP23 1.37 PE,26-09-2023,1,0.0001,1,37,1.37
4300,CDS,cde_fo,GBPUSD,6903,OPTCUR,CE,1.37,GBPUSD27DECEMBER231.37CE,GBPUSD23DEC1.37CE,GBPUSD 27DEC23 1.37 CE,27-12-2023,1,0.0001,1,37,1.37
4301,CDS,cde_fo,GBPUSD,6904,OPTCUR,PE,1.37,GBPUSD27DECEMBER231.37PE,GBPUSD23DEC1.37PE,GBPUSD 27DEC23 1.37 PE,27-12-2023,1,0.0001,1,37,1.37
4302,CDS,cde_fo,GBPUSD,6905,OPTCUR,CE,1.37,GBPUSD28MARCH241.37CE,GBPUSD24MAR1.37CE,GBPUSD 28MAR24 1.37 CE,28-03-2024,1,0.0001,1,37,1.37
4303,CDS,cde_fo,GBPUSD,6906,OPTCUR,PE,1.12,GBPUSD27DECEMBER231.12PE,GBPUSD23DEC1.12PE,GBPUSD 27DEC23 1.12 PE,27-12-2023,1,0.0001,1,12,1.12
4304,CDS,cde_fo,EURINR,6907,OPTCUR,CE,91.75,EURINR30JUNE2391.75CE,EURINR2363091.75CE,EURINR 30JUN23 91.75 CE,30-06-2023,1,0.0025,91,75,91.75
4305,CDS,cde_fo,EURINR,6908,OPTCUR,PE,91.75,EURINR30JUNE2391.75PE,EURINR2363091.75PE,EURINR 30JUN23 91.75 PE,30-06-2023,1,0.0025,91,75,91.75
4306,CDS,cde_fo,EURINR,6909,OPTCUR,CE,92,EURINR30JUNE2392CE,EURINR2363092CE,EURINR 30JUN23 92 CE,30-06-2023,1,0.0025,92,,92
4307,CDS,cde_fo,EURINR,6910,OPTCUR,PE,92,EURINR30JUNE2392PE,EURINR2363092PE,EURINR 30JUN23 92 PE,30-06-2023,1,0.0025,92,,92
4308,CDS,cde_fo,JPYINR,6911,OPTCUR,PE,60.75,JPYINR28JULY2360.75PE,JPYINR2372860.75PE,JPYINR 28JUL23 60.75 PE,28-07-2023,1,0.0025,60,75,60.75
4309,CDS,cde_fo,JPYINR,6912,OPTCUR,CE,61,JPYINR28JULY2361CE,JPYINR2372861CE,JPYINR 28JUL23 61 CE,28-07-2023,1,0.0025,61,,61
4310,CDS,cde_fo,USDINR,6913,OPTCUR,CE,86.5,USDINR18AUGUST2386.5CE,USDINR2381886.5CE,USDINR 18AUG23 86.5 CE,18-08-2023,1,0.0025,86,5,86.5
4311,CDS,cde_fo,USDINR,6914,OPTCUR,PE,86.5,USDINR18AUGUST2386.5PE,USDINR2381886.5PE,USDINR 18AUG23 86.5 PE,18-08-2023,1,0.0025,86,5,86.5
4312,CDS,cde_fo,JPYINR,6915,OPTCUR,PE,61,JPYINR28JULY2361PE,JPYINR2372861PE,JPYINR 28JUL23 61 PE,28-07-2023,1,0.0025,61,,61
4313,CDS,cde_fo,JPYINR,6916,OPTCUR,CE,61.25,JPYINR28JULY2361.25CE,JPYINR2372861.25CE,JPYINR 28JUL23 61.25 CE,28-07-2023,1,0.0025,61,25,61.25
4314,CDS,cde_fo,JPYINR,6917,OPTCUR,PE,61.25,JPYINR28JULY2361.25PE,JPYINR2372861.25PE,JPYINR 28JUL23 61.25 PE,28-07-2023,1,0.0025,61,25,61.25
4315,CDS,cde_fo,JPYINR,6918,OPTCUR,CE,61.5,JPYINR28JULY2361.5CE,JPYINR2372861.5CE,JPYINR 28JUL23 61.5 CE,28-07-2023,1,0.0025,61,5,61.5
4316,CDS,cde_fo,USDINR,6919,OPTCUR,CE,86.75,USDINR18AUGUST2386.75CE,USDINR2381886.75CE,USDINR 18AUG23 86.75 CE,18-08-2023,1,0.0025,86,75,86.75
